product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Ajustador P502,https://www.pintuco.com.co/productos/ajustador-p502/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-thinner-pu-ps-p502-2.pdf,https://tienda.pintuco.com/,,"Ajustador P502 es una mezcla de solventes, formulados con el fin de obtener un excelente poder de dilución con rata de evaporación rápida.",,"Ajustador P502 es una mezcla de solventes, formulados con el fin de obtener un excelente poder de dilución con rata de evaporación rápida.",exterior,impermeable,,ajustador,,,Contiene instrucciones de dilución en la página pública,1/4 galón | galón,AJUSTADOR NM P502 GL,51018875,95.0,db:vw_inventario_agente,AJUSTADOR NM P502 GL,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner para Poliuretano y Poliéster Ref. 21106,https://www.pintuco.com.co/productos/thinner-para-poliuretano-y-poliester-ref-21106/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-thinner-pu-ps-21106-1.pdf,https://tienda.pintuco.com/,,Thinner para Poliuretano y Poliéster Ref.,,Thinner para Poliuretano y Poliéster Ref.,exterior,impermeable,,,,,Contiene instrucciones de dilución en la página pública,galón,THINER PARA POLIURETANOS,51008369,86.25,db:vw_inventario_agente,THINER PARA POLIURETANOS,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Ajustador Varsol 21132,https://www.pintuco.com.co/productos/ajustador-alifatico-ref-21132/,https://www.pintuco.com.co/download/51234/?tmstv=1672344801,https://tienda.pintuco.com/,,Ajustador alifático varsol 21132 solvente alifático tipo Varsol.,,Ajustador alifático varsol 21132 solvente alifático tipo Varsol.,exterior,,,ajustador,,,,1/4 galón | galón | 5 galones,PQ AJUSTADOR VARSOL 21132 0.95L,5891367,95.0,db:vw_inventario_agente,AJUSTADOR VARSOL,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Recubrimiento electrostático Poliéster Antibacterial,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-antibacterial/,https://www.pintuco.com.co/download/49794/?tmstv=1672344800,https://tienda.pintuco.com/,,Pintura en polvo Poliéster Antibacterial es un recubrimiento en polvo formulado a base de resina Poliéster.,,Pintura en polvo Poliéster Antibacterial es un recubrimiento en polvo formulado a base de resina Poliéster.,exterior,antibacterial | alto_cubrimiento,,,,,,,POLIESTER AZUL CRYSTAL CAJA 20 KG,10375417,85.5,db:vw_inventario_agente,POLIESTER AZUL CRYSTAL CAJA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Thinner para limpieza de equipos 21218,https://www.pintuco.com.co/productos/ajustador-para-limpieza-de-equipos-ref-21218/,https://www.pintuco.com.co/download/51354/?tmstv=1672344803,https://tienda.pintuco.com/,,"Thinner para limpieza de equipos 21218 es una mezcla balanceada de solventes aromático, alifático y oxigenados.",,"Thinner para limpieza de equipos 21218 es una mezcla balanceada de solventes aromático, alifático y oxigenados.",exterior,,,,,,,galón,THINNER LIMPIEZA DE EQUIPOS 21218 5G,10015605,90.87,db:vw_inventario_agente,THINNER LIMPIEZA DE EQUIPOS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Ajustador xilol Ref.21204,https://www.pintuco.com.co/productos/ajustador-xilol-ref-21204/,https://www.pintuco.com.co/download/51238/?tmstv=1672344801,https://tienda.pintuco.com/,,Ajustador Xilol Ref.21204 es un solvente aromático tipo Xilol.,,Ajustador Xilol Ref.21204 es un solvente aromático tipo Xilol.,exterior,,,ajustador,,,,1/4 galón | galón | 5 galones,AJUSTADOR XILOL 21204 GTA007/20L/AA7,5891066,91.3,backend_lookup,AJUSTADOR XILOL,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Thinner para Nitro Ref. 21214,https://www.pintuco.com.co/productos/thinner-para-nitro-ref-21214/,https://www.pintuco.com.co/wp-content/uploads/2019/12/ft-thinner-para-nitro-21214-1.pdf,https://tienda.pintuco.com/,,Thinner para Nitro Ref.,,Thinner para Nitro Ref.,exterior,,,,,,Contiene instrucciones de dilución en la página pública,5 galones,THINNER 1/2 BOTELLA,50000934,85.5,db:vw_inventario_agente,THINNER BOTELLA,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Ajustador para Epóxicas 21209,https://www.pintuco.com.co/productos/ajustador-para-epoxicas-ref-21209/,https://www.pintuco.com.co/download/51231/?tmstv=1672344801,https://tienda.pintuco.com/,,"Ajustador para Epóxicas Ref.21209 es una mezcla balanceada de solventes aromáticos, ésteres y alcoholes.",,"Ajustador para Epóxicas Ref.21209 es una mezcla balanceada de solventes aromáticos, ésteres y alcoholes.",exterior,,,ajustador,,,,galón | 5 galones,AJUSTADOR UNIVERSAL,56254279,85.5,db:vw_inventario_agente,AJUSTADOR UNIVERSAL,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático Epoxi Poliéster,https://www.pintuco.com.co/productos/pintura-electrostatica-epoxi-poliester/,https://www.pintuco.com.co/download/51358/?tmstv=1672344804,https://tienda.pintuco.com/,,"Pintura en polvo Epoxi Poliéster es un recubrimiento formulado en combinación de resina epóxica y poliéster, denominados HIBRIDOS.",,"Pintura en polvo Epoxi Poliéster es un recubrimiento formulado en combinación de resina epóxica y poliéster, denominados HIBRIDOS.",,alto_cubrimiento,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático Poliéster Qualicoat,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester-qualicoat/,https://www.pintuco.com.co/download/51360/?tmstv=1672344804,https://tienda.pintuco.com/,,Pintura en polvo Poliéster Qualicoat es un recubrimiento en polvo formulado a base de resina Poliéster.,,Pintura en polvo Poliéster Qualicoat es un recubrimiento en polvo formulado a base de resina Poliéster.,exterior,alto_cubrimiento,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,Falta señal de familia/marca suficientemente fuerte
Recubrimiento electrostático Poliéster,https://www.pintuco.com.co/productos/pintura-electrostatica-poliester/,https://www.pintuco.com.co/download/49796/?tmstv=1672344800,https://tienda.pintuco.com/,,Pintura en polvo Poliéster es un recubrimiento formulado a base de resina Poliéster.,,Pintura en polvo Poliéster es un recubrimiento formulado a base de resina Poliéster.,exterior,alto_cubrimiento,,,,,,,POLIESTER COMBINADO 1/4,56254222,85.5,db:vw_inventario_agente,POLIESTER COMBINADO,cuarentena,Falta señal de familia/marca suficientemente fuerte
Acabado texturizado Graniplast Esgrafiado Estándar,https://www.pintuco.com.co/productos/acabado-texturizado-graniplast-esgrafiado-estandar/,https://www.pintuco.com.co/download/64536/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=texturas&&name_product=Acabado texturizado Graniplast Esgrafiado Estándar,"Graniplast Estándar Esgrafiado Graniplast Estándar Esgrafiado es un revestimiento plástico de acabado texturizado tipo rayado, elaborado con granos de cuarzo de tamaño controlado, resistente a la intemperie y con buena estabilidad del color, ofreciendo una durabilidad de hasta 3 años en exterior siempre y cuando se sig",,"Graniplast Estándar Esgrafiado Graniplast Estándar Esgrafiado es un revestimiento plástico de acabado texturizado tipo rayado, elaborado con granos de cuarzo de tamaño controlado, resistente a la intemperie y con buena estabilidad del color, ofreciendo una durabilidad de hasta 3 años en exterior siempre y cuando se sig",exterior,durabilidad,,,,,,cuñete,GRANIPLAST ESGRAFIADO ESTANDAR CAN 30 KG,10359447,85.71,backend_lookup,GRANIPLAST ESGRAFIADO ESTANDAR CAN,cuarentena,Falta señal de familia/marca suficientemente fuerte
Acrolatex 50,https://www.pintuco.com.co/productos/acrolatex-50/,https://www.pintuco.com.co/download/64579/?tmstv=1672344835,https://tienda.pintuco.com/,,Acrolatex 50 es un ligante de alta calidad con excelente resistencia al agua y a la intemperie.,,Acrolatex 50 es un ligante de alta calidad con excelente resistencia al agua y a la intemperie.,exterior,,,,,,,,PQ ACROLATEX 50 3508 4K,5891003,90.0,db:vw_inventario_agente,ACROLATEX 3508 4K,cuarentena,Falta señal de familia/marca suficientemente fuerte
Textura acrílica Graniplast Premium Graniacryl,https://www.pintuco.com.co/productos/textura-acrilica-graniplast-premium-graniacryl/,https://www.pintuco.com.co/wp-content/uploads/2020/04/graniplast-premium-graniacryl.pdf,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=texturas&&name_product=Textura acrílica Graniplast Premium Graniacryl,"Graniplast Premium Graniacryl es un revestimiento plástico de acabado texturizado tipo revoque fino coloreado, elaborado con copolímeros 100% acrílicos base agua y granos de mármol aglutinados de tamaño controlado, que forma una barrera impermeable a la lluvia y resistente a los rayos del sol ofreciendo máxima protecci",,"Graniplast Premium Graniacryl es un revestimiento plástico de acabado texturizado tipo revoque fino coloreado, elaborado con copolímeros 100% acrílicos base agua y granos de mármol aglutinados de tamaño controlado, que forma una barrera impermeable a la lluvia y resistente a los rayos del sol ofreciendo máxima protecci",mamposteria | exterior,impermeable | durabilidad,,,,,"100% acrílicos base agua y granos de mármol aglutinados de tamaño controlado, que forma una barrera impermeable a la lluvia y resistente a los rayos del sol ofreciendo máxima protección, resistencia y durabilidad de hasta 5 años en exterior siempre y cuando se sigan las recomendaciones de preparación de superficie y aplicación del producto",cuñete,GRANIACRYL D TAMBOR 300 KILOS,10128819,85.5,db:vw_inventario_agente,GRANIACRYL D TAMBOR 300 KILOS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Sellador acrílico Sellomax Antialcalino,https://www.pintuco.com.co/productos/sellador-acrilico-sellomax/,https://www.pintuco.com.co/download/64406/?tmstv=1672344833,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=pinturas-profesionales&&name_product=Sellador acrílico Sellomax Antialcalino,"Sellomax es un recubrimiento acrílico base solvente con nanotecnología de alta penetración en el sustrato y excelente resistencia a intemperie, ataque de álcalis y humedad en superficies verticales.",,"Sellomax es un recubrimiento acrílico base solvente con nanotecnología de alta penetración en el sustrato y excelente resistencia a intemperie, ataque de álcalis y humedad en superficies verticales.",exterior,impermeable | alto_cubrimiento,,sellomax,,,,galón | 5 galones,SELLADOR MADERA POR 1/4,56253609,85.5,db:vw_inventario_agente,SELLADOR MADERA POR,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Construcleaner Rinse Ladrillo Rojo,https://www.pintuco.com.co/productos/construcleaner-rinse-ladrillo-rojo/,https://www.pintuco.com.co/download/64413/?tmstv=1672344833,https://tienda.pintuco.com/,,"Construcleaner Limpiador Rinse Ladrillo Rojo es un limpiador formulado con una mezcla de ácidos inorgánicos y aditivos especiales, para lavar y desmanchar fachadas en ladrillo rojo.",,"Construcleaner Limpiador Rinse Ladrillo Rojo es un limpiador formulado con una mezcla de ácidos inorgánicos y aditivos especiales, para lavar y desmanchar fachadas en ladrillo rojo.",mamposteria | exterior,,,,,,,,CONSTRUCLEANER RINSE LADRILLO ROJ 52.83G,10347881,89.19,db:vw_inventario_agente,CONSTRUCLEANER RINSE LADRILLO ROJ .,cuarentena,Falta señal de familia/marca suficientemente fuerte
Hidrófugo impermeabilizante Siliconite 10 Transparente,https://www.pintuco.com.co/productos/hidrofugo-impermeabilizante-siliconite-10-transparente/,https://www.pintuco.com.co/download/64354/?tmstv=1672344833,https://tienda.pintuco.com/,,"Siliconite Transparente 10 es un hidrófugo, repelente al agua, con base en siliconas que impermeabiliza y protege las fachadas en ladrillo de los efectos del agua lluvia.",,"Siliconite Transparente 10 es un hidrófugo, repelente al agua, con base en siliconas que impermeabiliza y protege las fachadas en ladrillo de los efectos del agua lluvia.",mamposteria | exterior,impermeable,,,,,,5 galones,SILICONITE W INCOLORO 3009 1/4G,10286737,85.5,db:vw_inventario_agente,SILICONITE W,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Hidrófugo impermeabilizante Siliconite 7 Transparente,https://www.pintuco.com.co/productos/hidrofugo-impermeabilizante-siliconite-7-transparente/,https://www.pintuco.com.co/download/64348/?tmstv=1672344833,https://tienda.pintuco.com/,,"Siliconite Transparente 7 es un hidrófugo, repelente al agua, con base en siliconas que impermeabiliza y protege las fachadas en ladrillo de los efectos del agua lluvia.",,"Siliconite Transparente 7 es un hidrófugo, repelente al agua, con base en siliconas que impermeabiliza y protege las fachadas en ladrillo de los efectos del agua lluvia.",mamposteria | exterior,impermeable,,,,,,1/4 galón | galón | 5 galones,GUARDA ESCOBA LISO 7 CM REF 206,56253304,85.5,db:vw_inventario_agente,GUARDA ESCOBA LISO CM REF,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Hidrófugo Siliconite 7W Transparente,https://www.pintuco.com.co/productos/hidrofugo-siliconite-7w-transparente/,https://www.pintuco.com.co/download/64351/?tmstv=1672344833,https://tienda.pintuco.com/,,Siliconite Transparente 7W es un hidrófugo base agua que impermeabiliza y protege las fachadas en ladrillo de los efectos del agua lluvia.,,Siliconite Transparente 7W es un hidrófugo base agua que impermeabiliza y protege las fachadas en ladrillo de los efectos del agua lluvia.,mamposteria | exterior,impermeable | durabilidad,,,,,,5 galones,SILICONITE CONCRETO 5G,10115043,85.5,db:vw_inventario_agente,SILICONITE CONCRETO,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Hidrófugo Siliconite 12 Ultra,https://www.pintuco.com.co/productos/hidrofugo-siliconite-ultra/,https://www.pintuco.com.co/download/49271/?tmstv=1726499613,https://tienda.pintuco.com/,,"Siliconite Ultra es un hidrófugo de bajo olor, repelente al agua, con base en siliconas con alto poder de penetración, que impermeabiliza y protege las fachadas de los efectos del agua lluvia.",,"Siliconite Ultra es un hidrófugo de bajo olor, repelente al agua, con base en siliconas con alto poder de penetración, que impermeabiliza y protege las fachadas de los efectos del agua lluvia.",mamposteria | exterior,impermeable | durabilidad,,,,,,5 galones,PINCEL NO. 12,56254606,85.5,db:vw_inventario_agente,PINCEL NO.,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Tela de Refuerzo para Impermeabilización,https://www.pintuco.com.co/productos/tela-de-refuerzo-para-impermeabilizacion/,https://www.pintuco.com.co/download/64389/?tmstv=1672344833,https://tienda.pintuco.com/,,"Tela poliéster para refuerzo de impermeabilizaciones acrílicas y asfálticas en terrazas y cubiertas, fabricada a base de fibras sintéticas de alta compatibilidad con impermeabilizantes acrílicos y asfálticos de aplicación en frio, que les confieren a las impermeabilizaciones una mayor resistencia a la tensión y al rasg",,"Tela poliéster para refuerzo de impermeabilizaciones acrílicas y asfálticas en terrazas y cubiertas, fabricada a base de fibras sintéticas de alta compatibilidad con impermeabilizantes acrílicos y asfálticos de aplicación en frio, que les confieren a las impermeabilizaciones una mayor resistencia a la tensión y al rasg",,impermeable,,,,,,,TELA REFUERZO IMPERMEABILIZACION 50 M,F51060093,88.12,db:vw_inventario_agente,TELA REFUERZO IMPERMEABILIZACION M,cuarentena,Falta señal de familia/marca suficientemente fuerte
Impermeabilizante acrílico Pintuco Fill 12,https://www.pintuco.com.co/productos/impermeabilizante-acrilico-pintuco-fill-12/,https://www.pintuco.com.co/download/64384/?tmstv=1696260219,https://tienda.pintuco.com/,,"Pintuco Fill 12 es un recubrimiento acrílico impermeable y flexible con fibras, para evitar el paso de humedad y filtraciones en cubiertas y terrazas.",,"Pintuco Fill 12 es un recubrimiento acrílico impermeable y flexible con fibras, para evitar el paso de humedad y filtraciones en cubiertas y terrazas.",,impermeable | alto_cubrimiento | durabilidad,,,,,,,PINT FILL 5 GRIS 2753 1/4,10342080,85.5,db:vw_inventario_agente,PINT FILL,cuarentena,Falta señal de familia/marca suficientemente fuerte
Pintura para canchas deportivas y Pisos,https://www.pintuco.com.co/productos/pintura-para-canchas-y-pisos/,https://www.pintuco.com.co/download/64469/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=pinturas-profesionales&&name_product=Pintura para canchas deportivas y Pisos,"Pintura para Canchas y Pisos es un recubrimiento acrílico base agua para demarcación, decoración y protección de diferentes escenarios deportivos.",,"Pintura para Canchas y Pisos es un recubrimiento acrílico base agua para demarcación, decoración y protección de diferentes escenarios deportivos.",piso,alto_cubrimiento,,,,,,galón | 5 galones,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,Falta señal de familia/marca suficientemente fuerte
Impermeabilizante acrílico Pintuco Fill 7 Antihongos,https://www.pintuco.com.co/productos/impermeabilizante-acrilico-pintuco-fill-7-antihongos/,https://www.pintuco.com.co/download/64381/?tmstv=1696260021,https://tienda.pintuco.com/,,"Pintuco Fill 7 es un recubrimiento acrílico impermeable y flexible con fibras, para evitar el paso de humedad y filtraciones en cubiertas y terrazas.",,"Pintuco Fill 7 es un recubrimiento acrílico impermeable y flexible con fibras, para evitar el paso de humedad y filtraciones en cubiertas y terrazas.",,impermeable | alto_cubrimiento | durabilidad,,,,,,1/4 galón | galón | 5 galones,RANDOGRIP PRIMER ACRILICO CLEAR 5G,10361029,85.5,db:vw_inventario_agente,RANDOGRIP PRIMER ACRILICO CLEAR,cuarentena,Falta señal de familia/marca suficientemente fuerte
Sellador Pintuco Fix Professional,https://www.pintuco.com.co/productos/sellador-pintuco-fix-professional/,https://www.pintuco.com.co/download/64518/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Sellador Pintuco Fix Professional,"Pintuco Fix Professional es un sellador-Adhesivo elástico a base de polímero MS, de alta calidad y excelente adhesión sobre prácticamente todo tipo de materiales en construcción.",,"Pintuco Fix Professional es un sellador-Adhesivo elástico a base de polímero MS, de alta calidad y excelente adhesión sobre prácticamente todo tipo de materiales en construcción.",exterior,,,,,,,,PINTUCO 1 17050 44 KG,10339209,85.5,db:vw_inventario_agente,PINTUCO,cuarentena,Falta señal de familia/marca suficientemente fuerte
Pintuco Silicona Transparente,https://www.pintuco.com.co/productos/pintuco-silicona-transparente/,https://www.pintuco.com.co/download/64534/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Pintuco Silicona Transparente,"Pintuco Silicona Transparente un sellador de silicona acética de uso general en materiales lisos (no porosos): vidrio, cerámica, aluminio y materiales no oxidables, etc.",,"Pintuco Silicona Transparente un sellador de silicona acética de uso general en materiales lisos (no porosos): vidrio, cerámica, aluminio y materiales no oxidables, etc.",metal,antihongos,,,,,,,SILICONA,56253752,90.0,db:vw_inventario_agente,SILICONA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Pintuco Silicona Neutra,https://www.pintuco.com.co/productos/pintuco-silicona-neutra/,https://www.pintuco.com.co/download/64531/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Pintuco Silicona Neutra,"Pintuco Silicona Neutra es un sellador de silicona neutra de alta calidad y excelente adherencia sobre la mayoría de los materiales de construcción, porosos y no porosos: ladrillo, concreto, vidrio, aluminio, cerámica, PVC, acrílico, policarbonato y madera.",,"Pintuco Silicona Neutra es un sellador de silicona neutra de alta calidad y excelente adherencia sobre la mayoría de los materiales de construcción, porosos y no porosos: ladrillo, concreto, vidrio, aluminio, cerámica, PVC, acrílico, policarbonato y madera.",metal | madera | mamposteria | interior | exterior,,,,,,,,PINTUCO SILICONA NEUTRA GRIS 300ML,10352183,95.0,db:vw_inventario_agente,PINTUCO SILICONA NEUTRA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Pintuco Espuma de Poliuretano,https://www.pintuco.com.co/productos/pintuco-espuma-de-poliuretano/,https://www.pintuco.com.co/download/64515/?tmstv=1672344834,https://tienda.pintuco.com/,,"Pintuco Espuma de Poliuretano es una espuma expansiva de poliuretano que cura con la exposición a la humedad ambiental, para rellenar, aislar y sellar huecos, ranuras y canales.",,"Pintuco Espuma de Poliuretano es una espuma expansiva de poliuretano que cura con la exposición a la humedad ambiental, para rellenar, aislar y sellar huecos, ranuras y canales.",,impermeable,,,,,,,TAMBOR DE AGUARRAS,56253699,85.5,db:vw_inventario_agente,TAMBOR DE AGUARRAS,cuarentena,Falta señal de familia/marca suficientemente fuerte
Sellador poliuretano Pintuco Flex Professional,https://www.pintuco.com.co/productos/sellador-poliuretano-pintuco-flex-professional/,https://www.pintuco.com.co/download/64522/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Sellador poliuretano Pintuco Flex Professional,"Pintuco Flex Professional es un sellador poliuretano elástico monocomponente de alto desempeño y secado con la humedad del aire, para la aplicación en interiores y exteriores.",,"Pintuco Flex Professional es un sellador poliuretano elástico monocomponente de alto desempeño y secado con la humedad del aire, para la aplicación en interiores y exteriores.",interior | exterior,impermeable | rapido_secado,,,,,,,PINTUCO FILL 7 ROJO TEJA 11K,10384452,85.5,db:vw_inventario_agente,PINTUCO FILL ROJO TEJA 11K,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Pintuco Silicona Ultra 3 en 1,https://www.pintuco.com.co/productos/pintuco-silicona-ultra-2/,https://www.pintuco.com.co/download/64528/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=siliconas-y-selladores&&name_product=Pintuco Silicona Ultra 3 en 1,"Pintuco Silicona Ultra es un sellador de silicona acética de alta calidad, con fungicidas que evitan la formación de moho y hongos, para realizar sellos elásticos e impermeables sobre sustratos lisos (no porosos) como Vidrio-Aluminio, Vidrio-Vidrio y en Zonas húmedas.",,"Pintuco Silicona Ultra es un sellador de silicona acética de alta calidad, con fungicidas que evitan la formación de moho y hongos, para realizar sellos elásticos e impermeables sobre sustratos lisos (no porosos) como Vidrio-Aluminio, Vidrio-Vidrio y en Zonas húmedas.",metal | interior | exterior,antihongos | impermeable,,,,,,,SILICONA,56253752,90.0,db:vw_inventario_agente,SILICONA,cuarentena,Falta señal de familia/marca suficientemente fuerte
Estuco Premium Interior,https://www.pintuco.com.co/productos/estuco-profesional-interior/,https://www.pintuco.com.co/download/64455/?tmstv=1672344834,https://tienda.pintuco.com/,https://pintuco.com.co/calculadora-de-pintura/?section=estucos&&name_product=Estuco Premium Interior,"Estuco Profesional Interior es una masilla plástica de alta blancura y excelente adherencia sobre los diferentes materiales de construcción, especialmente diseñado para muros y cielos en ambientes interiores que no tienen exposición directa o permanente a la intemperie.",,"Estuco Profesional Interior es una masilla plástica de alta blancura y excelente adherencia sobre los diferentes materiales de construcción, especialmente diseñado para muros y cielos en ambientes interiores que no tienen exposición directa o permanente a la intemperie.",madera | mamposteria | interior | exterior,,,estuco,,,,,ESGRAFIADO PREMIUM 34TX-8A 4 GL 30 KG,10220174,85.5,db:vw_inventario_agente,ESGRAFIADO PREMIUM 34TX 8A,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Pintura impermeabilizante Madetec Vareta,https://www.pintuco.com.co/productos/madetec-vareta/,https://www.pintuco.com.co/download/48685/?tmstv=1672344796,https://tienda.pintuco.com/,,"Vareta es ideal para proteger estacones, corrales, postes, establos, portones y todo tipo de construcciones de madera que estén expuestos a la intemperie.",,"Vareta es ideal para proteger estacones, corrales, postes, establos, portones y todo tipo de construcciones de madera que estén expuestos a la intemperie.",metal | madera | exterior,,,,,,,galón | 5 galones,PINTURA IMPERMEABILIZANTE VARETA 55GLN,10229709,86.86,db:vw_inventario_agente,PINTURA IMPERMEABILIZANTE VARETA 55GLN,cuarentena,Falta señal de familia/marca suficientemente fuerte
Barniz Barnex Extra Protección,https://www.pintuco.com.co/productos/barnex-extra-proteccion/,https://www.pintuco.com.co/download/48700/?tmstv=1672344796,https://tienda.pintuco.com/,,"Barnex Extra Protección es un barniz coloreado ideal para la protección y decoración de superficies de madera en ambientes exteriores como puertas, portones, cercas, ventanas, techos, balcones, pasamanos, columnas, vigas, pérgolas y muebles de jardín.",,"Barnex Extra Protección es un barniz coloreado ideal para la protección y decoración de superficies de madera en ambientes exteriores como puertas, portones, cercas, ventanas, techos, balcones, pasamanos, columnas, vigas, pérgolas y muebles de jardín.",metal | madera | mamposteria | exterior,antihongos | impermeable,brocha | rodillo | pistola | espatula,ajustador,,,Brocha o rodillo 1 galón No requerido Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de | Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de la madera y deja secar de 6 a 8 horas entr,galón,YESO EXTRA KL,56256545,85.5,db:vw_inventario_agente,YESO EXTRA KL,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Barnex Barniz Exterior,https://www.pintuco.com.co/productos/barnex-barniz-exterior/,https://www.pintuco.com.co/download/48963/?tmstv=1672344797,https://tienda.pintuco.com/,,"Barnex Barniz Exterior es un barniz tipo uretano base solvente transparente, de fácil aplicación, que penetra la madera y permite su transpiración, proporcionando alta protección en exteriores, incluso en ambientes marinos y tropicales.",,"Barnex Barniz Exterior es un barniz tipo uretano base solvente transparente, de fácil aplicación, que penetra la madera y permite su transpiración, proporcionando alta protección en exteriores, incluso en ambientes marinos y tropicales.",madera | exterior,impermeable | durabilidad,brocha | rodillo | pistola | espatula,ajustador,,,Brocha o rodillo 1 galón No requerido Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de | Pistola convencional 1 galón ¼ de galón Aplica de 3 a 4 manos (capas) en el sentido de la veta de la madera y deje secar entre 3 y 5 horas e,galón,F BARNIZ K1 AUT  GL-END E40 1/4 GL THII,F51019803,85.5,db:vw_inventario_agente,F BARNIZ K1 AUT GL END E40 THII,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
Tinte en Aerosol para Maderas Aerocolor,https://www.pintuco.com.co/productos/tinte-en-aerosol-para-maderas-aerocolor/,https://www.pintuco.com.co/download/48721/?tmstv=1672344796,https://tienda.pintuco.com/,,,,,,,,,,,,,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Pintura Laca para Madera en Aerosol Aerocolor,https://www.pintuco.com.co/productos/pintura-laca-para-madera-en-aerosol-aerocolor/,https://www.pintuco.com.co/download/48719/?tmstv=1672344796,https://tienda.pintuco.com/,,,,,,,,,,,,,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Sellador en Aerosol para Madera Aerocolor,https://www.pintuco.com.co/productos/sellador-en-aerosol-para-madera-aerocolor/,https://www.pintuco.com.co/download/48717/?tmstv=1672344796,https://tienda.pintuco.com/,,,,,,,,,,,,,"DISCO PARA CONCRETO 7""",56254161,85.5,db:vw_inventario_agente,"DISCO PARA CONCRETO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
