product_name,page_url,technical_sheet_url,buy_url,calculator_url,summary_public,finish,recommended_use,surface_targets,benefit_tags,application_methods,related_products,coverage_ranges,drying_times,dilution_hints,presentations,inventory_match_name,inventory_match_ref,inventory_match_score,inventory_match_source,canonical_family_from_inventory,decision,decision_note
Lija Agua Pintuco Gran 400,https://www.pintuco.com.co/productos/lija-agua-pintuco-gran-400/,,https://tienda.pintuco.com/,,,,,,,,,,,,,F PG 4 LLVE 6 PINTUCO SILICONA GRIS 300M,F51019940,85.5,db:vw_inventario_agente,F PG LLVE PINTUCO SILICONA GRIS 300M,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Lija Agua Pintuco Grano 180,https://www.pintuco.com.co/productos/lija-agua-pintuco-grano-180/,,https://tienda.pintuco.com/,,,,,,,,,,,,,"RODILLO PINTUCO 9""",56255257,85.5,db:vw_inventario_agente,"RODILLO PINTUCO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Lija Agua Pintuco Grano 220,https://www.pintuco.com.co/productos/lija-agua-pintuco-grano-220/,,https://tienda.pintuco.com/,,,,,,,,,,,,,"RODILLO PINTUCO 9""",56255257,85.5,db:vw_inventario_agente,"RODILLO PINTUCO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Lija Agua Pintuco Grano 320,https://www.pintuco.com.co/productos/lija-agua-pintuco-grano-320/,,https://tienda.pintuco.com/,,,,,,,,,,,,,DISCO BLUE 3M 320,56254844,85.5,db:vw_inventario_agente,DISCO BLUE 3M,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Lija Agua Pintuco Grano 150,https://www.pintuco.com.co/productos/lija-agua-pintuco-grano-150/,,https://tienda.pintuco.com/,,,,,,,,,,,,,"RODILLO PINTUCO 9""",56255257,85.5,db:vw_inventario_agente,"RODILLO PINTUCO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Lija Agua Pintuco Grano 120,https://www.pintuco.com.co/productos/lija-agua-pintuco-grano-120/,,https://tienda.pintuco.com/,,,,,,,,,,,,,"RODILLO PINTUCO 9""",56255257,85.5,db:vw_inventario_agente,"RODILLO PINTUCO """,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Lija Agua Pintuco Grano 80,https://www.pintuco.com.co/productos/lija-agua-pintuco-grano-80/,,https://tienda.pintuco.com/,,,,,,,,,,,,,LIJA AGUA PINTUCO/ABRACOL GRANO 80,10375616,86.67,db:vw_inventario_agente,LIJA AGUA PINTUCO ABRACOL GRANO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Destapa Cuñetes Plástico Pintuco,https://www.pintuco.com.co/productos/destapa-cunetes-plastico-pintuco/,,https://tienda.pintuco.com/,,,,,,,,,,,,5 galones,DESTAPA CUNETES PLASTICO PINTUCO,6448861,100.0,db:vw_inventario_agente,DESTAPA CUNETES PLASTICO PINTUCO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Plástico Protector 20m Pintuco,https://www.pintuco.com.co/productos/plastico-protector-20m-pintuco/,,https://tienda.pintuco.com/,,,,,,,,,,,,,PLASTICO PROTECTOR 20M PINTUCO,6448862,100.0,db:vw_inventario_agente,PLASTICO PROTECTOR 20M PINTUCO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Cepillo De Alambre Pintuco,https://www.pintuco.com.co/productos/cepillo-de-alambre-pintuco/,,https://tienda.pintuco.com/,,,,,,,,,,,,,CEPILLO DE ALAMBRE PINTUCO,6447609,100.0,db:vw_inventario_agente,CEPILLO DE ALAMBRE PINTUCO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Mezclador Plástico De Pintura Pintuco,https://www.pintuco.com.co/productos/mezclador-plastico-de-pintura-pintuco/,,https://tienda.pintuco.com/,,,,,,,,,,,,,MEZCLADOR PLASTICO PINTUCO,6448860,95.0,db:vw_inventario_agente,MEZCLADOR PLASTICO PINTUCO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Bandeja Profesional 9 Pulg Pintuco,https://www.pintuco.com.co/productos/bandeja-profesional-9-pulg-pintuco/,,https://tienda.pintuco.com/,,,,,,,,,,,,,BANDEJA PROFESIONAL 4 PULG PINTUCO,6448855,97.06,db:vw_inventario_agente,BANDEJA PROFESIONAL PULG PINTUCO,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Espátula Pro Pintuco 14 En 1,https://www.pintuco.com.co/productos/espatula-pro-pintuco-14-en-1/,,https://tienda.pintuco.com/,,,,,,,,,,,,,ESPATULA PROFESIONAL PINTUCO 14 EN 1,6447586,92.31,backend_lookup,ESPATULA PROFESIONAL PINTUCO EN,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Kit Prof. Pintuco,https://www.pintuco.com.co/productos/kit-prof-pintuco/,,https://tienda.pintuco.com/,,,,,,,,,,,,,F PG 4 LLVE 6 PINTUCO SILICONA GRIS 300M,F51019940,85.5,db:vw_inventario_agente,F PG LLVE PINTUCO SILICONA GRIS 300M,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Espátula Flexible Mango Plástico 4pulg,https://www.pintuco.com.co/productos/espatula-flexible-mango-plastico-4pulg/,,https://tienda.pintuco.com/,,,,,,,,,,,,,ESPATULA FLEXIBLE MANGO PLAST 4 PULG,6447585,94.59,db:vw_inventario_agente,ESPATULA FLEXIBLE MANGO PLAST PULG,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Espátula Flexible Mango Plastico 3pulg,https://www.pintuco.com.co/productos/espatula-flexible-mango-plastico-3pulg/,,https://tienda.pintuco.com/,,,,,,,,,,,,,ESPATULA FLEXIBLE MANGO PLAST 4 PULG,6447585,91.89,db:vw_inventario_agente,ESPATULA FLEXIBLE MANGO PLAST PULG,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Espátula Flexible Mango Plastico 1.5pulg,https://www.pintuco.com.co/productos/espatula-flexible-mango-plastico-1-5pulg/,,https://tienda.pintuco.com/,,,,,,,,,,,,,ESPATULA FLEXIBLE MANGO PLAST 4 PULG,6447585,89.47,db:vw_inventario_agente,ESPATULA FLEXIBLE MANGO PLAST PULG,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Rodillo Nespoli Micromix Antigota 9 Pulg,https://www.pintuco.com.co/productos/rodillo-nespoli-micromix-antigota-9-pulg/,,https://tienda.pintuco.com/,,,,,,,,,,,,,RODILLO NESPOLI MICROMIX ANTIGOTA 9 PULG,6448388,100.0,db:vw_inventario_agente,RODILLO NESPOLI MICROMIX ANTIGOTA PULG,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Rodillo Nespoli Tripol Antigota Fachada 9 Pulg,https://www.pintuco.com.co/productos/rodillo-nespoli-tripol-antigota-fachada-9-pulg/,,https://tienda.pintuco.com/,,,,,,,,,,,,,RODILLO NESPOLI TRIPOL ANTIGO FACHADA 9P,6448387,93.02,db:vw_inventario_agente,RODILLO NESPOLI TRIPOL ANTIGO FACHADA 9P,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Repuesto intercambiable,https://www.pintuco.com.co/productos/repuesto-intercambiable-estandar/,,https://tienda.pintuco.com/,,,,,,,,,,,,,CUCHILLA REPUESTO BISTURI JUEGO 10 PZS 1,51001612,85.5,db:vw_inventario_agente,CUCHILLA REPUESTO BISTURI JUEGO PZS,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Repuesto intercambiable,https://www.pintuco.com.co/productos/repuesto-intercambiable-profesional-para-pintura-epoxica/,,https://tienda.pintuco.com/,,,,,,,,,,,,,CUCHILLA REPUESTO BISTURI JUEGO 10 PZS 1,51001612,85.5,db:vw_inventario_agente,CUCHILLA REPUESTO BISTURI JUEGO PZS,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Repuesto intercambiable,https://www.pintuco.com.co/productos/repuesto-intercambiable-profesional-para-texturas/,,https://tienda.pintuco.com/,,,,,,,,,,,,,CUCHILLA REPUESTO BISTURI JUEGO 10 PZS 1,51001612,85.5,db:vw_inventario_agente,CUCHILLA REPUESTO BISTURI JUEGO PZS,cuarentena,La página pública tiene poca densidad técnica; revisar manualmente
Pintura Pintulux Anticorrosivo Eco,https://www.pintuco.com.co/productos/pintura-pintulux-anticorrosivo-eco/,https://www.pintuco.com.co/download/48971/?tmstv=1672344797,https://tienda.pintuco.com/,,"Pintulux Anticorrosivo Eco es una pintura anticorrosiva ecológica, 100% acrílica diluible con agua y de acabado mate.",,"Pintulux Anticorrosivo Eco es una pintura anticorrosiva ecológica, 100% acrílica diluible con agua y de acabado mate.",metal | interior | exterior,anticorrosivo | rapido_secado | durabilidad,,pintulux,,,100% acrílica diluible con agua y de acabado mate,1/4 galón | galón,BISTURI ECO,56253573,85.5,db:vw_inventario_agente,BISTURI ECO,cuarentena,"Tiene valor, pero requiere revisión humana antes de enriquecer el RAG"
