tipo_documento,archivo_actual,nombre_recomendado,accion,nota,lookup_inventario_sugerido,ejemplo_erp_encontrado,ref_erp_ejemplo,familia_canonica,marca,estado_validacion,match_source,match_score,match_query_usada,nombre_recomendado_auto,accion_auto,estado_validacion_auto,nota_auto
ficha_tecnica,WOOD STAIN IMPREGNANTE PARA MADERAS.pdf,"DISCO PARA CONCRETO "".pdf",renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> DISCO PARA CONCRETO """,wood stain impregnante para maderas,"DISCO PARA CONCRETO 7""",56254161,WOOD STAIN IMPREGNANTE PARA MADERAS,,validado_con_revision,db:vw_inventario_agente,85.5,WOOD STAIN IMPREGNANTE PARA MADERAS,"DISCO PARA CONCRETO "".pdf",renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> DISCO PARA CONCRETO """
ficha_tecnica,PINTURA EPOXICA BASE SOLVENTE.pdf,PINTURA EPOXICA B SOLVENTE BLANCO ..pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 86.0) -> PINTURA EPOXICA B SOLVENTE BLANCO .",pintura epoxica base solvente,PINTURA EPOXICA B SOLVENTE BLANCO 0.75G,10014492,PINTURA EPOXICA BASE SOLVENTE,,validado_con_revision,db:vw_inventario_agente,86.04,PINTURA EPOXICA BASE SOLVENTE,PINTURA EPOXICA B SOLVENTE BLANCO ..pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 86.0) -> PINTURA EPOXICA B SOLVENTE BLANCO ."
ficha_tecnica,PRIMER EPOXICO DE RAPIDO SECADO GRIS.pdf,PRIMER EPOXICO DE RAPIDO SECAD.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 92.1) -> PRIMER EPOXICO DE RAPIDO SECAD",primer epoxico rapido secado gris,PRIMER EPOXICO DE RAPIDO SECAD GRIS 1/4G,10130775,PRIMER EPOXICO RAPIDO SECADO GRIS,,validado_automatico,db:vw_inventario_agente,92.11,PRIMER EPOXICO DE RAPIDO SECADO GRIS,PRIMER EPOXICO DE RAPIDO SECAD.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 92.1) -> PRIMER EPOXICO DE RAPIDO SECAD"
ficha_tecnica,AJUSTADOR ACRILICAS CAUCHO CLORADO 21121.pdf,AJUSTADOR 204 CANECA.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> AJUSTADOR 204 CANECA",ajustador acrilicas caucho clorado 21121,AJUSTADOR 204 CANECA,56254706,AJUSTADOR ACRILICAS CAUCHO CLORADO 21121,,validado_con_revision,db:vw_inventario_agente,85.5,AJUSTADOR ACRILICAS CAUCHO CLORADO 21121,AJUSTADOR 204 CANECA.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> AJUSTADOR 204 CANECA"
ficha_tecnica,AJUSTADOR AROMÁTICO INCOLORO 21134.pdf,AJUSTADOR 204 CANECA.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> AJUSTADOR 204 CANECA",ajustador aromatico incoloro 21134,AJUSTADOR 204 CANECA,56254706,AJUSTADOR AROMATICO INCOLORO 21134,,validado_con_revision,db:vw_inventario_agente,85.5,AJUSTADOR AROMATICO INCOLORO 21134,AJUSTADOR 204 CANECA.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> AJUSTADOR 204 CANECA"
ficha_tecnica,MASILLA P2500.pdf,MASILLA P2500.pdf,revisar,"Match encontrado en inventario (db:vw_inventario_agente, score 90.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente",masilla p2500,KIT 11 LLEVE 12 CUARTOS MASILLA P2500,10374458,MASILLA P2500,,revisar_manual,db:vw_inventario_agente,90.0,MASILLA P2500,KIT LLEVE CUARTOS MASILLA P2500.pdf,revisar,revisar_manual,"Match encontrado en inventario (db:vw_inventario_agente, score 90.0), pero la propuesta automática parece demasiado SKU-específica o dudosa; revisar manualmente"
ficha_tecnica,ESGRAFIADO STANDARD GRANIPLAST.pdf,GRANIPLAST ESGRAFIADO TX 3P.pdf,renombrar,"Cruce automático desde inventario (backend_lookup, score 82.4) -> GRANIPLAST ESGRAFIADO TX 3P",esgrafiado standard graniplast,GRANIPLAST ESGRAFIADO 20 TX 3P 30 KG,10359446,ESGRAFIADO STANDARD GRANIPLAST,GRANIPLAST,validado_con_revision,backend_lookup,82.35,ESGRAFIADO STANDARD GRANIPLAST,GRANIPLAST ESGRAFIADO TX 3P.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (backend_lookup, score 82.4) -> GRANIPLAST ESGRAFIADO TX 3P"
ficha_tecnica,IMPRIMAX.pdf,IMPRIMAX BASE COLOR 84TX5T CANECA.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> IMPRIMAX BASE COLOR 84TX5T CANECA",imprimax,IMPRIMAX BASE COLOR 84TX5T CANECA 5 GL,20017725,IMPRIMAX,,validado_automatico,db:vw_inventario_agente,90.0,IMPRIMAX,IMPRIMAX BASE COLOR 84TX5T CANECA.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 90.0) -> IMPRIMAX BASE COLOR 84TX5T CANECA"
ficha_tecnica,CONSTRUCLEANER LIMPIADOR DESENGRASANTE.pdf,LIMPIADOR DE JUNTAS.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> LIMPIADOR DE JUNTAS",construcleaner limpiador desengrasante,LIMPIADOR DE JUNTAS 650ML,51018920,CONSTRUCLEANER LIMPIADOR DESENGRASANTE,CONSTRUCLEANER,validado_con_revision,db:vw_inventario_agente,85.5,CONSTRUCLEANER LIMPIADOR DESENGRASANTE,LIMPIADOR DE JUNTAS.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> LIMPIADOR DE JUNTAS"
ficha_tecnica,ESGRAFIADO PREMIUM GRANIPLAST.pdf,"RODILLO PREMIUM "".pdf",renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> RODILLO PREMIUM """,esgrafiado premium graniplast,"RODILLO PREMIUM 9""",51018847,ESGRAFIADO PREMIUM GRANIPLAST,GRANIPLAST,validado_con_revision,db:vw_inventario_agente,85.5,ESGRAFIADO PREMIUM GRANIPLAST,"RODILLO PREMIUM "".pdf",renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> RODILLO PREMIUM """
ficha_tecnica,CLEAR FRU-5500.pdf,RANDOGRIP PRIMER ACRILICO CLEAR.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> RANDOGRIP PRIMER ACRILICO CLEAR",clear fru-5500,RANDOGRIP PRIMER ACRILICO CLEAR 5G,10361029,CLEAR FRU-5500,,validado_con_revision,db:vw_inventario_agente,85.5,CLEAR FRU 5500,RANDOGRIP PRIMER ACRILICO CLEAR.pdf,renombrar,validado_con_revision,"Cruce automático desde inventario (db:vw_inventario_agente, score 85.5) -> RANDOGRIP PRIMER ACRILICO CLEAR"
ficha_tecnica,MEG PRIMER PARA PLASTICOS 28600 AC 0.94L.pdf,MEG PRIMER PARA PLASTICOS 28600 AC.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 100.0) -> MEG PRIMER PARA PLASTICOS 28600 AC",meg primer para plasticos 28600 ac,MEG PRIMER PARA PLASTICOS 28600 AC 0.94L,5891273,MEG PRIMER PARA PLASTICOS 28600 AC,MEG,validado_automatico,db:vw_inventario_agente,100.0,MEG PRIMER PARA PLASTICOS 28600 AC 0.94L,MEG PRIMER PARA PLASTICOS 28600 AC.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 100.0) -> MEG PRIMER PARA PLASTICOS 28600 AC"
ficha_tecnica,ESTUCOR BULTO 25 KL LISTO.pdf,ESTUCOR BULTO * KL LISTO.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 98.0) -> ESTUCOR BULTO * KL LISTO",estucor bulto 25 kl listo,ESTUCOR BULTO *25 KL LISTO,F9017239AB,ESTUCOR BULTO 25 KL LISTO,,validado_automatico,db:vw_inventario_agente,98.04,ESTUCOR BULTO 25 KL LISTO,ESTUCOR BULTO * KL LISTO.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 98.0) -> ESTUCOR BULTO * KL LISTO"
ficha_tecnica,ESTUCOR BULTO 25 KLS MOLDURA.pdf,ESTUCOR BULTO * KLS MOLDURA.pdf,renombrar,"Cruce automático desde inventario (db:vw_inventario_agente, score 96.6) -> ESTUCOR BULTO * KLS MOLDURA",estucor bulto 25 kls moldura,ESTUCOR BULTO  *25 KLS MOLDURA,F9017239B,ESTUCOR BULTO 25 KLS MOLDURA,,validado_automatico,db:vw_inventario_agente,96.55,ESTUCOR BULTO 25 KLS MOLDURA,ESTUCOR BULTO * KLS MOLDURA.pdf,renombrar,validado_automatico,"Cruce automático desde inventario (db:vw_inventario_agente, score 96.6) -> ESTUCOR BULTO * KLS MOLDURA"
